"","text","speaker","season","episode","scene","utterance"
"156","You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her...","Ross Geller",1,1,7,6
"157","What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!","Joey Tribbiani",1,1,7,7
"158","I honestly don't know if I'm hungry or horny.","Ross Geller",1,1,7,8
"159","Stay out of my freezer!","Chandler Bing",1,1,7,9
"160","Ever since she walked out on me, I, uh...","Paul the Wine Guy",1,1,8,1
"161","What?..... What, you wanna spell it out with noodles?","Monica Geller",1,1,8,2
"162","No, it's, it's more of a fifth date kinda revelation.","Paul the Wine Guy",1,1,8,3
"163","Oh, so there is gonna be a fifth date?","Monica Geller",1,1,8,4
"164","Isn't there?","Paul the Wine Guy",1,1,8,5
"165","Yeah... yeah, I think there is. -What were you gonna say?","Monica Geller",1,1,8,6
"166","Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform. ...Sexually.","Paul the Wine Guy",1,1,8,7
"167","Oh God, oh God, I am sorry... I am so sorry...","Monica Geller",1,1,8,8
"168","It's okay...","Paul the Wine Guy",1,1,8,9
"169","I know being spit on is probably not what you need right now. Um... how long?","Monica Geller",1,1,8,10
"170","Two years.","Paul the Wine Guy",1,1,8,11
"171","Wow! I'm-I'm-I'm glad you smashed her watch!","Monica Geller",1,1,8,12
"172","So you still think you, um... might want that fifth date?","Paul the Wine Guy",1,1,8,13
"173","...Yeah. Yeah, I do.","Monica Geller",1,1,8,14
"174","We are gathered here today to join Joanne Louise Cunningham and Charles, Chachi-Chachi-Chachi, Arcola in the bound of holy matrimony.","Priest On Tv",1,1,9,1
"175","Oh...see... but Joanne loved Chachi! That's the difference!","Rachel Green",1,1,9,2
"176","Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?","Ross Geller",1,1,10,1
"177","Great story! But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea... Oh man,","Joey Tribbiani",1,1,10,2
"178","Angela's the screamer, Andrea has cats.","Chandler Bing",1,1,10,3
"179","Right. Thanks. It's June. I'm outta here.","Joey Tribbiani",1,1,10,4
"180","Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask?","Ross Geller",1,1,10,5
"181","[Cut to Rachel staring out of her window.]","Scene Directions",1,1,10,6
"182","Isn't this amazing? I mean, I have never made coffee before in my entire life.","Rachel Green",1,1,11,1
"183","That is amazing.","Chandler Bing",1,1,11,2
"184","Congratulations.","Joey Tribbiani",1,1,11,3
"185","Y'know, I figure if I can make coffee, there isn't anything I can't do.","Rachel Green",1,1,11,4
"186","If can invade Poland, there isn't anything I can't do.","Chandler Bing",1,1,11,5
"187","Listen, while you're on a roll, if you feel like you gotta make like a Western omelet or something... Although actually I'm really not that hungry...","Joey Tribbiani",1,1,11,6
"188","Oh good, Lenny and Squigy are here.","Monica Geller",1,1,11,7
"189","Morning. Good morning.","#ALL#",1,1,11,8
"190","Morning.","Paul the Wine Guy",1,1,11,9
"191","Morning, Paul.","Joey Tribbiani",1,1,11,10
"192","Hello, Paul.","Rachel Green",1,1,11,11
"193","Hi, Paul, is it?","Chandler Bing",1,1,11,12
"194","(Monica and Paul walk to the door and talk in a low voice so the others can't hear. The others move Monica's table closer to the door so that they can.)","Scene Directions",1,1,11,13
"195","Thank you! Thank you so much!","Paul the Wine Guy",1,1,11,14
"196","Stop!","Monica Geller",1,1,11,15
"197","No, I'm telling you last night was like umm, all my birthdays, both graduations, plus the barn raising scene in Witness.","Paul the Wine Guy",1,1,11,16
"198","We'll talk later.","Monica Geller",1,1,11,17
"199","Yeah. Thank you.","Paul the Wine Guy",1,1,11,18
"200","That wasn't a real date?! What the hell do you do on a real date?","Joey Tribbiani",1,1,11,19
"201","Shut up, and put my table back.","Monica Geller",1,1,11,20
"202","Okayyy!","#ALL#",1,1,11,21
"203","All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference...","Chandler Bing",1,1,11,22
"204","So, like, you guys all have jobs?","Rachel Green",1,1,11,23
"205","Yeah, we all have jobs. See, that's how we buy stuff.","Monica Geller",1,1,11,24
"206","Yeah, I'm an actor.","Joey Tribbiani",1,1,11,25
"207","Wow! Would I have seen you in anything?","Rachel Green",1,1,11,26
"208","I doubt it. Mostly regional work.","Joey Tribbiani",1,1,11,27
"209","Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park.","Monica Geller",1,1,11,28
"210","Look, it was a job all right?","Joey Tribbiani",1,1,11,29
"211","'Look, Gippetto, I'm a real live boy.'","Chandler Bing",1,1,11,30
"212","I will not take this abuse.","Joey Tribbiani",1,1,11,31
"213","You're right, I'm sorry. ""Once I was a wooden boy, a little wooden boy...""","Chandler Bing",1,1,11,32
"214","You should both know, that he's a dead man. Oh, Chandler?","Joey Tribbiani",1,1,11,33
"215","So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.","Monica Geller",1,1,11,34
"216","I can see that. You look like you slept with a hanger in your mouth.","Rachel Green",1,1,11,35
"217","I know, he's just so, so... Do you remember you and Tony DeMarco?","Monica Geller",1,1,11,36
"218","Oh, yeah.","Rachel Green",1,1,11,37
"219","Well, it's like that. With feelings.","Monica Geller",1,1,11,38
"220","Oh wow. Are you in trouble.","Rachel Green",1,1,11,39
"221","Big time!","Monica Geller",1,1,11,40
"222","Want a wedding dress? Hardly used.","Rachel Green",1,1,11,41
"223","I think we are getting a little ahead of selves here. Okay. Okay. I am just going to get up, go to work and not think about him all day. Or else I'm just gonna get up and go to work.","Monica Geller",1,1,11,42
"224","Oh, look, wish me luck!","Rachel Green",1,1,11,43
"225","What for?","Monica Geller",1,1,11,44
"226","I'm gonna go get one of those job things.","Rachel Green",1,1,11,45
"227","(Monica exits.)","Scene Directions",1,1,11,46
"228","Hey, Monica!","Franny",1,1,12,1
"229","Hey Frannie, welcome back! How was Florida?","Monica Geller",1,1,12,2
"230","You had sex, didn't you?","Franny",1,1,12,3
"231","How do you do that?","Monica Geller",1,1,12,4
"232","Oh, I hate you, I'm pushing my Aunt Roz through Parrot Jungle and you're having sex! So? Who?","Franny",1,1,12,5
"233","You know Paul?","Monica Geller",1,1,12,6
"234","Paul the Wine Guy? Oh yeah, I know Paul.","Franny",1,1,12,7
"235","You mean you know Paul like I know Paul?","Monica Geller",1,1,12,8
"236","Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years.","Franny",1,1,12,9
"237","Of course it was a line!","Joey Tribbiani",1,1,13,1
"238","Why?! Why? Why, why would anybody do something like that?","Monica Geller",1,1,13,2
"239","I assume we're looking for an answer more sophisticated than 'to get you into bed'.","Ross Geller",1,1,13,3
"240","I hate men! I hate men!","Monica Geller",1,1,13,4
"241","Oh no, don't hate, you don't want to put that out into the universe.","Phoebe Buffay",1,1,13,5
"242","Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?","Monica Geller",1,1,13,6
"243","All right, c'mere, gimme your feet.","Phoebe Buffay",1,1,13,7
